text,label,source,original_label,sample_weight
Women receive only 77 cents for every dollar a man earns.,Real,LIAR,mostly-true,1.0
"When Social Security started, age expectancy for the average man was 58. It was 62 -- 62 for women.",Real,LIAR,true,1.0
The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,Real,LIAR,mostly-true,1.0
Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals in 2014.,Real,LIAR,true,1.0
"Rick Perry has advocated abandoning Social Security, scuttling Medicaid and ending the federal income tax.",Real,LIAR,half-true,1.0
"Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jerseys best teachers, and the most education funding ever.",Real,LIAR,half-true,1.0
"Says if current trends continue, by 2040, one out of three Texas workers will not have a high school diploma.",Real,LIAR,true,1.0
"After Arizona banned smoking in all public places in 2007, admissions for acute myocardial infarction stroke, asthma, [and] angina decreased following the implementation of the ban.",Real,LIAR,half-true,1.0
"@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.",Real,LIAR,mostly-true,1.0
"Every time somebody new gets the Ebola virus, it mutates.",Real,LIAR,half-true,1.0
Sixty percent of New Jersey doctors do not accept Medicaid patients.,Real,LIAR,true,1.0
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",Real,LIAR,half-true,1.0
"832,000 people lost their job while (Charlie Crist was)governor.",Real,LIAR,half-true,1.0
"Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.",Real,LIAR,true,1.0
Says hewas one of the chief architects of balancing the federalbudget.,Real,LIAR,mostly-true,1.0
Gov. Romneys plan would cut taxes for the folks at the very top.,Real,LIAR,mostly-true,1.0
"In 1928 school boards sent home letters with children saying that if Al Smith is elected president, you will not be allowed to have or read a Bible.",Real,LIAR,half-true,1.0
"Since Corey Stewart became chairman in November 2006, unemployment is up 150% and average home price sales are down $150,000.",Real,LIAR,half-true,1.0
Says she stopped Capital Metro from raising fares for senior and disabled citizens.,Real,LIAR,mostly-true,1.0
Greg Abbott defended more than $5 billion in public school funding cuts in fighting hundreds of school districts in court.,Real,LIAR,half-true,1.0
Says hes taken an 8% pay decrease in each of the nine years he has been in office.,Real,LIAR,half-true,1.0
Obamacare includes a $700 billion cut from Medicare for seniors.,Real,LIAR,half-true,1.0
"After merging with Tim Hortons of Canada, Burger King is not moving. Our headquarters will remain in Miami and (we) will continue to pay all of our federal, state and local U.S. taxes.",Real,LIAR,half-true,1.0
"Says the average Ohio student graduates from a four-year college or university with nearly $27,000 in tuition debt.",Real,LIAR,half-true,1.0
Regime change (in Iraq) took eight years,Real,LIAR,half-true,1.0
Ive done more impeachments than anybody else in the history of the country.,Real,LIAR,true,1.0
Harry Reid says he does more for Nevada. Hes done more for unemployment. We were at 4.4 percent. Now were at 14 percent. Hes done more for the foreclosure rate. We have the highest foreclosure rate in the nation. Hes done more for bankruptcy. We have the highest bankruptcy rate in the nation.,Real,LIAR,half-true,1.0
"Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.",Real,LIAR,mostly-true,1.0
"Says his promise of 250,000 new private sector jobs was a big goal.",Real,LIAR,mostly-true,1.0
Says Gov. Rick Scott returned $1 million in federal funding that would have helped the state cover the cost of overseeing insurance rates under the new health care law.,Real,LIAR,mostly-true,1.0
Theyre paying a less rate of tax -- these richest people in America -- than they have in the last 80 years.,Real,LIAR,mostly-true,1.0
"Were talking right now about a $12 billion hole in our current, so-called balanced state budget.",Real,LIAR,half-true,1.0
Surveys show that many of our citizens think we devote a full quarter or even a third of our federal budget to foreign aid.,Real,LIAR,true,1.0
500 percent more traffic here?,Real,LIAR,mostly-true,1.0
Says Rep. Renee Ellmers voted for the government shutdown 21 times.,Real,LIAR,half-true,1.0
"Last weeks three most-viewed television programs wereSunday Night Football, Thursday Night Football and Monday Night Football.",Real,LIAR,true,1.0
"The labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s.",Real,LIAR,true,1.0
"Hillary Clinton ""agreed with (John McCain) on voting for the war in Iraq.""",Real,LIAR,true,1.0
There are more poor people today as a percentage of our population than the 1970s.,Real,LIAR,mostly-true,1.0
"(John) Kasich was the architect who balanced the budget, cut spending, created a surplus, igniting record job creation.",Real,LIAR,half-true,1.0
"Since the passage of Obamas stimulus package, over 1 million additional jobs were lost and nearly 25 million Americans are out of work, are stuck in part-time work, or have given up looking.",Real,LIAR,half-true,1.0
"For decades before I was elected, governors tried and failed to get Minnesota out of the top 10 highest-taxed states in the country. I actually did it.",Real,LIAR,half-true,1.0
The Obama administrations own Environmental Protection Agency has said its Clean Power Plan will have a marginal impact on climate change.,Real,LIAR,half-true,1.0
"By 12th grade, more than 3 out of 10 girls have been pregnant at least once.",Real,LIAR,half-true,1.0
"In this country, we have a 25 percent dropout rate.",Real,LIAR,half-true,1.0
"One half of federal spending goes to Social Security, Medicare and Medicaid while the other half goes to other programs funded with money borrowed from a foreign land.",Real,LIAR,half-true,1.0
[The state ethics commission] took absolutely the same percent of cuts as most other state agencies. They were somewhere in the 7 percent range same as the governors office.,Real,LIAR,true,1.0
Says his opponent Dorman Grace brags on his Facebook page about receiving illegal campaign contributions.,Real,LIAR,half-true,1.0
